Libellé;Lien;État
1.1.1 Contenu non textuel;https://www.w3.org/Translations/WCAG20-fr/#text-equiv;OK
1.1.1 Non-text Content;https://www.w3.org/TR/2008/REC-WCAG20-20081211/#text-equiv;OK
1.3.1 Information et relations;https://www.w3.org/Translations/WCAG20-fr/#content-structure-separation;OK
1.3.1 Info and Relationships;https://www.w3.org/TR/2008/REC-WCAG20-20081211/#content-structure-separation;OK
2.1 ARIA Roles;https://www.w3.org/TR/wai-aria-1.1/#usage_intro;OK
SEM-001 : Inclure la sémantique ARIA et EPUB;http://www.edrlab.org/public/sne/TAE_HTML_V3/Techniques_d_Accessibilite_EPUB%201.0.htm#sem-001;OK
SEM-001: Include ARIA and EPUB semantics;https://idpf.org/epub/a11y/techniques/techniques.html#sem-001;OK
1.1.1 Contenu non textuel;https://www.w3.org/Translations/WCAG20-fr/#text-equiv;OK
1.1.1 Non-text Content;https://www.w3.org/TR/2008/REC-WCAG20-20081211/#text-equiv;OK
1.3.1 Information et relations;https://www.w3.org/Translations/WCAG20-fr/#content-structure-separation;OK
1.3.1 Info and Relationships;https://www.w3.org/TR/2008/REC-WCAG20-20081211/#content-structure-separation;OK
1.4.5 Texte sous forme d’image;https://www.w3.org/Translations/WCAG20-fr/#visual-audio-contrast;OK
1.4.5 Images of Text;https://www.w3.org/TR/2008/REC-WCAG20-20081211/#visual-audio-contrast;OK
1.4.9 Texte sous forme d’image (sans exception);https://www.w3.org/Translations/WCAG20-fr/#visual-audio-contrast;OK
1.4.9 Images of Text (No Exception);https://www.w3.org/TR/2008/REC-WCAG20-20081211/#visual-audio-contrast;OK
2.1 ARIA Roles;https://www.w3.org/TR/wai-aria-1.1/#usage_intro;OK
SEM-001 : Inclure la sémantique ARIA et EPUB;http://www.edrlab.org/public/sne/TAE_HTML_V3/Techniques_d_Accessibilite_EPUB%201.0.htm#sem-001;OK
SEM-001: Include ARIA and EPUB semantics;https://idpf.org/epub/a11y/techniques/techniques.html#sem-001;OK
1.3.1 Information et relations;https://www.w3.org/Translations/WCAG20-fr/#content-structure-separation;OK
1.3.1 Info and Relationships;https://www.w3.org/TR/2008/REC-WCAG20-20081211/#content-structure-separation;OK
2.1 ARIA Roles;https://www.w3.org/TR/wai-aria-1.1/#usage_intro;OK
